day,flux
2454072.6,1.7782794100389228e-22
2454072.9,5.623413251903491e-22
2454075.45139,1e-21
2454076.25,1e-20
2454076.3,1.778279410038923e-21
2454076.4,1.778279410038923e-21
2454076.4,1e-21
2454077.6,3.162277660168379e-20
2454078.23889,3.1622776601683792e-21
2454078.2889,3.1622776601683793e-22
2454078.3,5.623413251903491e-22
2454078.41,1e-20
2454078.6,5.623413251903491e-22
2454079.3646,1e-20
2454079.5,1.7782794100389228e-20
2454079.5951,3.1622776601683792e-21
2454079.7,1e-21
2454080.22,1e-21
2454080.33,1.778279410038923e-21
2454080.3799,1e-21
2454080.6,1.7782794100389228e-20
2454080.73403,1.778279410038923e-21
2454080.9618,1e-19
2454081.2319,1e-21
2454081.267,1e-21
2454081.3097,3.1622776601683793e-22
2454081.3194,1e-21
2454081.35,1e-20
2454081.3507,1e-22
2454081.37083,3.1622776601683792e-21
2454081.5,1.7782794100389228e-20
2454081.7,1.7782794100389228e-22
2454082.375,1.778279410038923e-21
2454083.2083,3.1622776601683792e-21
2454083.642,1.7782794100389228e-20
2454084.375,1e-20
2454084.991,5.62341325190349e-20
2454085.3,1.778279410038923e-21
2454085.3625,3.1622776601683792e-21
2454085.4,1.7782794100389227e-19
2454085.4,1e-19
2454085.6,3.162277660168379e-20
2454085.68819,1e-19
2454086.2,5.6234132519034906e-21
2454086.2111,5.6234132519034906e-21
2454086.28,1e-20
2454086.2889,3.162277660168379e-20
2454086.35,1e-20
2454086.5,5.62341325190349e-20
2454087.0264,5.62341325190349e-20
2454087.2604,1.7782794100389227e-19
2454087.31806,1.778279410038923e-21
2454087.5,3.1622776601683792e-21
2454088.6,1.7782794100389227e-19
2454088.7,5.62341325190349e-20
2454089.375,1e-20
2454089.6,3.162277660168379e-20
2454089.6,1.7782794100389228e-20
2454089.6056,1e-20
2454089.6694,3.162277660168379e-20
2454090.4,3.162277660168379e-20
2454092.2,3.1622776601683792e-21
2454092.24,3.162277660168379e-19
2454092.3,1.7782794100389227e-19
2454092.33,1e-19
2454092.4,1e-19
2454092.9986,1e-19
2454093.2826,3.162277660168379e-20
2454093.3,1.7782794100389227e-19
2454093.3,5.623413251903491e-19
2454093.33,1.7782794100389228e-20
2454093.4375,3.162277660168379e-20
2454093.5,1.7782794100389227e-19
2454093.683,5.62341325190349e-20
2454094.2035,1.7782794100389228e-20
2454094.25,5.62341325190349e-20
2454094.2813,3.162277660168379e-20
2454094.5,1e-18
2454094.6,5.623413251903491e-19
2454095.26389,1.7782794100389227e-19
2454095.3,5.623413251903491e-19
2454096.0,3.162277660168379e-19
2454096.223,5.623413251903491e-19
2454096.29,1.778279410038923e-18
2454096.2931,1.778279410038923e-18
2454096.35208,1.7782794100389227e-19
2454096.38,1.7782794100389227e-19
2454096.4,3.162277660168379e-19
2454096.6,3.162277660168379e-19
2454096.9944,1.7782794100389227e-19
2454097.6,1.778279410038923e-18
2454097.64236,1e-18
2454099.3576,3.1622776601683795e-18
2454100.375,1e-18
2454100.9861,5.623413251903491e-19
2454101.3868,3.1622776601683795e-18
